Entity,Code,Year,Renewables (TWh - equivalent)
Argentina,ARG,1980,45.087505
Argentina,ARG,1981,43.700558
Argentina,ARG,1982,52.38695
Argentina,ARG,1983,54.95805
Argentina,ARG,1984,59.1457
Argentina,ARG,1985,61.45415
Argentina,ARG,1986,62.582012
Argentina,ARG,1987,65.13341
Argentina,ARG,1988,45.51364
Argentina,ARG,1989,39.333355
Argentina,ARG,1990,52.8023
Argentina,ARG,1991,47.34342
Argentina,ARG,1992,57.085903
Argentina,ARG,1993,70.58906
Argentina,ARG,1994,81.00245
Argentina,ARG,1995,78.75102
Argentina,ARG,1996,67.1889
Argentina,ARG,1997,83.18672
Argentina,ARG,1998,79.044495
Argentina,ARG,1999,64.20936
Argentina,ARG,2000,85.83184
Argentina,ARG,2001,108.76871
Argentina,ARG,2002,106.3387
Argentina,ARG,2003,101.06318
Argentina,ARG,2004,90.760284
Argentina,ARG,2005,101.10619
Argentina,ARG,2006,111.707115
Argentina,ARG,2007,91.87159
Argentina,ARG,2008,91.640976
Argentina,ARG,2009,100.57703
Argentina,ARG,2010,102.9839
Argentina,ARG,2011,99.22063
Argentina,ARG,2012,96.03914
Argentina,ARG,2013,107.368965
Argentina,ARG,2014,108.16618
Argentina,ARG,2015,108.600266
Argentina,ARG,2016,100.94731
Argentina,ARG,2017,108.8468
Argentina,ARG,2018,111.5426
Argentina,ARG,2019,110.459015
Argentina,ARG,2020,107.07653
Argentina,ARG,2021,108.64311
Argentina,ARG,2022,128.27484
Asia,,1965,422.89035
Asia,,1966,441.11557
Asia,,1967,412.31503
Asia,,1968,458.258
Asia,,1969,475.70972
Asia,,1970,487.58813
Asia,,1971,533.2094
Asia,,1972,551.4753
Asia,,1973,512.8583
Asia,,1974,584.10034
Asia,,1975,629.3584
Asia,,1976,647.06866
Asia,,1977,636.32385
Asia,,1978,670.6555
Asia,,1979,727.4789
Asia,,1980,783.02045
Asia,,1981,839.83997
Asia,,1982,859.5091
Asia,,1983,903.67566
Asia,,1984,910.4209
Asia,,1985,1072.1606
Asia,,1986,1082.7856
Asia,,1987,1120.735
Asia,,1988,1283.508
Asia,,1989,1316.8866
Asia,,1990,1370.6444
Asia,,1991,1386.5365
Asia,,1992,1397.3082
Asia,,1993,1546.0802
Asia,,1994,1546.1249
Asia,,1995,1679.6674
Asia,,1996,1669.7766
Asia,,1997,1675.4253
Asia,,1998,1776.861
Asia,,1999,1745.1959
Asia,,2000,1806.3025
Asia,,2001,1932.9921
Asia,,2002,2001.6842
Asia,,2003,2074.142
Asia,,2004,2420.2273
Asia,,2005,2514.9468
Asia,,2006,2766.1106
Asia,,2007,2914.7615
Asia,,2008,3316.4937
Asia,,2009,3300.3213
Asia,,2010,3830.0332
Asia,,2011,3975.6506
Asia,,2012,4531.1377
Asia,,2013,5012.1665
Asia,,2014,5567.4023
Asia,,2015,5939.2886
Asia,,2016,6430.733
Asia,,2017,7017.512
Asia,,2018,7686.7256
Asia,,2019,8452.521
Asia,,2020,9032.268
Asia,,2021,9940.498
Asia,,2022,10879.1045
Asia Pacific (EI),,1965,466.325
Asia Pacific (EI),,1966,484.71707
Asia Pacific (EI),,1967,456.16882
Asia Pacific (EI),,1968,502.08557
Asia Pacific (EI),,1969,519.6629
Asia Pacific (EI),,1970,539.4915
Asia Pacific (EI),,1971,594.86444
Asia Pacific (EI),,1972,611.69183
Asia Pacific (EI),,1973,579.01697
Asia Pacific (EI),,1974,652.71344
Asia Pacific (EI),,1975,696.1894
Asia Pacific (EI),,1976,698.39355
Asia Pacific (EI),,1977,680.0965
Asia Pacific (EI),,1978,710.519
Asia Pacific (EI),,1979,771.731
Asia Pacific (EI),,1980,824.5519
Asia Pacific (EI),,1981,878.227
Asia Pacific (EI),,1982,885.64154
Asia Pacific (EI),,1983,941.4458
Asia Pacific (EI),,1984,946.8012
Asia Pacific (EI),,1985,1011.03644
Asia Pacific (EI),,1986,1038.0441
Asia Pacific (EI),,1987,1035.3352
Asia Pacific (EI),,1988,1144.2135
Asia Pacific (EI),,1989,1228.8286
Asia Pacific (EI),,1990,1248.8961
Asia Pacific (EI),,1991,1283.836
Asia Pacific (EI),,1992,1258.068
Asia Pacific (EI),,1993,1372.8188
Asia Pacific (EI),,1994,1392.8475
Asia Pacific (EI),,1995,1527.4911
Asia Pacific (EI),,1996,1498.8856
Asia Pacific (EI),,1997,1518.1621
Asia Pacific (EI),,1998,1617.2632
Asia Pacific (EI),,1999,1611.0736
Asia Pacific (EI),,2000,1686.8328
Asia Pacific (EI),,2001,1824.9501
Asia Pacific (EI),,2002,1856.9089
Asia Pacific (EI),,2003,1904.9984
Asia Pacific (EI),,2004,2221.506
Asia Pacific (EI),,2005,2326.6777
Asia Pacific (EI),,2006,2562.2917
Asia Pacific (EI),,2007,2734.419
Asia Pacific (EI),,2008,3195.6814
Asia Pacific (EI),,2009,3182.026
Asia Pacific (EI),,2010,3642.4995
Asia Pacific (EI),,2011,3808.2063
Asia Pacific (EI),,2012,4329.6333
Asia Pacific (EI),,2013,4810.1567
Asia Pacific (EI),,2014,5422.066
Asia Pacific (EI),,2015,5729.3945
Asia Pacific (EI),,2016,6197.4404
Asia Pacific (EI),,2017,6768.9624
Asia Pacific (EI),,2018,7457.2954
Asia Pacific (EI),,2019,8058.7793
Asia Pacific (EI),,2020,8690.854
Asia Pacific (EI),,2021,9669.253
Asia Pacific (EI),,2022,10605.89
